,pcid,compName,smile,iupac name
89,43263,1-Methylbutyl butyrate,CCCC(C)OC(=O)CCC,pentan-2-yl butanoate
90,151080,1-Methylcyclopropene,CC1=CC1,1-methylcyclopropene
91,70495,1-Methylnicotinamide chloride,C[N+]1=CC=CC(=C1)C(=O)N.[Cl-],1-methylpyridin-1-ium-3-carboxamide;chloride
92,7304,1-Methylpyrrole,CN1C=CC=C1,1-methylpyrrole
93,8454,1-Methylpyrrolidine,CN1CCCC1,1-methylpyrrolidine
94,6862,1-Naphthylacetic acid,C1=CC=C2C(=C1)C=CC=C2CC(=O)O,2-naphthalen-1-ylacetic acid
95,141850,1-Phenylethylmercaptan,CC(C1=CC=CC=C1)S,1-phenylethanethiol
96,61447,1-Phenylpropyl butyrate,CCCC(=O)OC(CC)C1=CC=CC=C1,1-phenylpropyl butanoate
97,79803,1-Pyrroline,C1CC=NC1,"3,4-dihydro-2H-pyrrole"
98,83453,"1,1-Di-isobutoxy-3-methylbutane",CC(C)CC(OCC(C)C)OCC(C)C,"3-methyl-1,1-bis(2-methylpropoxy)butane"
99,53421444,"1,1-Di-isobutoxypentane",CCCCC(OCC(C)C)OCC(C)C,"1,1-bis(2-methylpropoxy)pentane"
100,568501,"1,1-Diethoxy-2-methylbutane",CCC(C)C(OCC)OCC,"1,1-diethoxy-2-methylbutane"
101,519415,"1,1-Diethoxy-2-methylpropane",CCOC(C(C)C)OCC,"1,1-diethoxy-2-methylpropane"
102,19695,"1,1-Diethoxy-3-methylbutane",CCOC(CC(C)C)OCC,"1,1-diethoxy-3-methylbutane"
103,3018210,"1,1-Diethoxy-3,7-dimethyloct-6-ene",CCOC(CC(C)CCC=C(C)C)OCC,"8,8-diethoxy-2,6-dimethyloct-2-ene"
104,77225,"1,1-Diethoxybutane",CCCC(OCC)OCC,"1,1-diethoxybutane"
105,104487,"1,1-Diethoxydodecane",CCCCCCCCCCCC(OCC)OCC,"1,1-diethoxydodecane"
106,7765,"1,1-Diethoxyethane",CCOC(C)OCC,"1,1-diethoxyethane"
107,93366,"1,1-Diethoxyhex-2-ene",CCCC=CC(OCC)OCC,"1,1-diethoxyhex-2-ene"
